"FIPS","MetricYear","Prsns_25plus","Prsns_less_HS","Prsns_HS_or_More","Prsns_4plus_Yrs_Clg","HH_INC_Under_10K","HH_INC__10K_to_14999","HH_INC__15K_to_24999","HH_INC__25K_to_49999","HH_INC__50K_to_99999","HH_INC__100000_Plus","Hhld_SSI","Tot_Civ_Lbr","Emplyd_Civ_Lbr","Unemplyd_Civ_Lbr","N_AgrFrstFishHuntMine_Wkrs","N_Construction_Wrkrs","N_EducHlthCreSocAsst_Wrkrs","N_Manufacturing_Wrkrs","N_Othr_Ind","P_AgrFrstFishHuntMine_Wkrs","P_Construction_Wrkrs","P_EducHlthCreSocAsst_Wrkrs","P_Manufacturing_Wrkrs","P_Othr_Ind","Num_Wrkrs_Priv","Num_Wrkrs_Govt","Num_Wrkrs_Fed","Num_Wrkrs_State","Num_Wrkrs_Local","Num_Wrkrs_Selfemplyd","Num_Wrks_16_Plus","Num_Unpaid_Fam_Wrkrs","Tot_Civ_Lbr (#1)","Emplyd_Civ_Lbr (#1)","Unemplyd_Civ_Lbr (#1)","FEM_Civ_Lbr","Emplyd_FEM_Civ_Lbr","Unemplyd_FEM_Civ_Lbr","P_Prsns_Below_Pov","N_Prsns_Below_Pov","Hhld_PUB_Asst","Prsns_25plus (#1)","Prns_INC_POV_Less_50P","Prns_INC_POV_50P_to_99P","Prns_INC_POV_100P_to_124P","Prns_INC_POV_125P_to_149P","Prns_INC_POV_150P_to_184P","Prns_INC_POV_185P_to_199P","Prns_INC_POV_200P_Plus"
21083,2013,25384,4430,20954,4404,1447,1133,2175,3945,3892,1798,941,17071,15840,1231,735,1064,3761,2558,7536,4.6,6.7,24.9,16.1,47.6,12198,2265,329,739,1197,1370,15840,7,17071,15840,1231,7914,7300,614,17.3,6342,264,,2655,3687,2545,1789,2672,850,22562
21083,2014,25304.5,4297,21007.5,4247.5,1526.5,1091,2120.5,3831,3882,1893.5,920,17021.5,15750.5,1271,605,1077,3761,2498,7716.5,3.8,6.85,24.45,15.850000000000001,49,12163.5,2313,313,812.5,1187.5,1268.5,15750.5,5.5,17021.5,15750.5,1271,7983,7357,626,18.25,6688.5,249,,2636.5,4052,2620,1906.5,2394,865.5,22224.5
21083,2015,25225,4164,21061,4091,1606,1049,2066,3717,3872,1989,899,16972,15661,1311,475,1090,3761,2438,7897,3,7,24,15.6,50.4,12129,2361,297,886,1178,1167,15661,4,16972,15661,1311,8052,7414,638,19.2,7035,234,,2618,4417,2695,2024,2116,881,21887
21083,2016,25145.5,4031,21114.5,3934.5,1685.5,1007,2011.5,3603,3862,2084.5,878,16922.5,15571.5,1351,345,1103,3761,2378,8077.5,2.2,7.15,23.55,15.349999999999998,51.8,12094.5,2409,281,959.5,1168.5,1065.5,15571.5,2.5,16922.5,15571.5,1351,8121,7471,650,20.15,7381.5,219,,2599.5,4782,2770,2141.5,1838,896.5,21549.5
21083,2017,25066,3898,21168,3778,1765,965,1957,3489,3852,2180,857,16873,15482,1391,215,1116,3761,2318,8258,1.4000000000000004,7.3,23.1,15.099999999999998,53.199999999999996,12060,2457,265,1033,1159,964,15482,1,16873,15482,1391,8190,7528,662,21.099999999999998,7728,204,,2581,5147,2845,2259,1560,912,21212
21083,2018,24986.5,3765,21221.5,3621.5,1844.5,923,1902.5,3375,3842,2275.5,836,16823.5,15392.5,1431,85,1129,3761,2258,8438.5,0.6000000000000005,7.449999999999999,22.650000000000002,14.849999999999998,54.599999999999994,12025.5,2505,249,1106.5,1149.5,862.5,15392.5,0,16823.5,15392.5,1431,8259,7585,674,22.049999999999997,8074.5,189,,2562.5,5512,2920,2376.5,1282,927.5,20874.5
21085,2010,17316.5,4864.5,12452,1380,1135,1002.5,1572,3334.5,2204.5,960.5,1072,11677,10118.5,1558.5,256,1551,2062,2146.5,4060.5,2.55,15.299999999999997,20.700000000000003,21.25,40.05000000000001,7217.5,2182.5,442,879,861.5,674.5,10118.5,44,11677,10118.5,1558.5,5441.5,4745,696.5,21.450000000000003,5360,195.5,,3154,2206,1301.5,1089,2109,1148.5,14116.5
21085,2011,17391,4584,12807,1453,1113,933,1595,3200,2262,983,1019,11584,10193,1391,284,1468,2062,2199,4146,2.8,14.399999999999999,20.500000000000004,21.6,40.60000000000001,7414,2028,386,820,822,711,10193,40,11584,10193,1391,5370,4730,640,22.3,5613,220,,2900,2713,1383,1151,2153,1080,13873
21085,2012,17465.5,4303.5,13162,1526,1091,863.5,1618,3065.5,2319.5,1005.5,966,11491,10267.5,1223.5,312,1385,2062,2251.5,4231.5,3.05,13.5,20.300000000000004,21.950000000000003,41.150000000000006,7610.5,1873.5,330,761,782.5,747.5,10267.5,36,11491,10267.5,1223.5,5298.5,4715,583.5,23.15,5866,244.5,,2646,3220,1464.5,1213,2197,1011.5,13629.5
21085,2013,17540,4023,13517,1599,1069,794,1641,2931,2377,1028,913,11398,10342,1056,340,1302,2062,2304,4317,3.3,12.6,20.1,22.3,41.7,7807,1719,274,702,743,784,10342,32,11398,10342,1056,5227,4700,527,24,6119,269,,2392,3727,1546,1275,2241,943,13386
21085,2014,17614.5,3742.5,13872,1672,1047,724.5,1664,2796.5,2434.5,1050.5,860,11305,10416.5,888.5,368,1219,2062,2356.5,4402.5,3.55,11.7,19.9,22.65,42.25,8003.5,1564.5,218,643,703.5,820.5,10416.5,28,11305,10416.5,888.5,5155.5,4685,470.5,24.85,6372,293.5,,2138,4234,1627.5,1337,2285,874.5,13142.5
